date,path,title,suggested_basename
2025-08-15,logs/2025-08-15-context-dump.md,Context Dump — 2025-08-15,2025-08-15-context-dump-2025-08-15.md
2025-08-15,logs/2025-08-15.md,Friday  August 15  2025,2025-08-15-friday-august-15-2025.md
2025-08-16,logs/2025-08-16-context-dump.md,Context Dump — 2025-08-16,2025-08-16-context-dump-2025-08-16.md
2025-08-16,logs/2025-08-16-handoff.md,Context Dump — 2025-08-16,2025-08-16-context-dump-2025-08-16.md
2025-08-16,logs/2025-08-16.md,↳ exit,2025-08-16-exit.md
2025-08-17,logs/2025-08-17-context-dump.md,Context Dump — 2025-08-17,2025-08-17-context-dump-2025-08-17.md
2025-08-17,logs/2025-08-17.md,↳ exit,2025-08-17-exit.md
2025-08-18,logs/2025-08-18-context-dump.md,Context Dump — 2025-08-18,2025-08-18-context-dump-2025-08-18.md
2025-08-18,logs/2025-08-18.md,Monday  August 18  2025,2025-08-18-monday-august-18-2025.md
1970-01-01,logs/cgpt-integration-archive.md,Cgpt-integration Project Archive,1970-01-01-cgpt-integration-project-archive.md
1970-01-01,logs/cgpt-upgrade-archive.md,cgpt-upgrade-archive,1970-01-01-cgpt-upgrade-archive.md
1970-01-01,logs/context-vault-archive.md,Context Dump – 2025-08-17 01:55:18Z,1970-01-01-context-dump-2025-08-17-01-55-18z.md
1970-01-01,logs/fancontrol-archive.md,Fancontrol Debug Log,1970-01-01-fancontrol-debug-log.md
1970-01-01,logs/ml4w-omarchy-archive.md,ML4W + Omarchy Hybrid Project (Context Archive),1970-01-01-ml4w-omarchy-hybrid-project-context-archive.md
1970-01-01,logs/README.md,Context Logs,1970-01-01-context-logs.md
